"","20210326_31020935670_21R4973AZZA_03.RCC","20210326_31020935670_21R6065AZZA_02.RCC","20210326_31020935670_21R6805AZZA_09.RCC","20210326_31020935670_21R7500AZZA_04.RCC","20210326_31020935670_21R7511AZZA_01.RCC","20210326_31020935670_21R7772AZZA_05.RCC","20210326_31020935670_21R9253AZZA_07.RCC","20210326_31020935670_21R9387AZZA_08.RCC","20210623_208994081021_RN21R3425AZZAA_11.RCC","20210623_208994081021_RN21R3996AZZAB_10.RCC","20210623_208994081021_RN21R5653AZZAB_09.RCC","20210623_208994081021_RN21R6723AZZAB_01.RCC","20210623_208994081021_RN21R7618AZZAB_04.RCC","20210623_208994081021_RN21R7921AZZAA_05.RCC","20210623_208994081021_RN21R9370AZZAB_03.RCC","20210623_208994081021_RN21R9727AZZAA_08.RCC","20210623_208994081021_RN21R9918AZZCA_02.RCC","20220624_209393930622_RN21R2533AZZAA_07.RCC","20220624_209393930622_RN21R2960AZZAA_09.RCC","20220624_209393930622_RN21R2966AZZAA_12.RCC","20220624_209393930622_RN21R3890AZZAA_11.RCC","20220624_209393930622_RN21R5628AZZAA_10.RCC","20220624_209393930622_RN21R8427AZZAA_06.RCC","20220624_209393930622_RN21R9372AZZAA_08.RCC","20220727_209421330722_RN21R3807AZZAA_03.RCC","20220727_209421330722_RN21R5295AZZBA_01.RCC","20220727_209421330722_RN21R8948AZZAA_02.RCC"
"WNT3A",2.865,1.386,1.557,2.471,2.286,3.105,2.756,4.121,2.585,4.664,5.207,2.247,3.068,3.357,2.677,5.463,1.87,4.028,4.999,3.466,2.439,6.344,2.843,3.441,8.853,2.81,3.153
"WNT4",6.197,3.234,7.124,3.673,4.161,4.564,2.363,5.185,3.778,4.853,7.792,3.649,4.615,3.772,5.124,6.048,3.317,5.691,5.288,6.331,5.212,7.142,4.106,3.731,8.957,5.395,3.77
"WNT5A",8.941,6.244,7.101,6.85,7.539,8.912,5.863,8.69,7.144,6.705,10.406,6.963,7.887,7.172,8.302,7.842,5.55,9.608,7.443,9.61,7.527,7.493,8.348,8.013,9.312,5.132,6.911
"WNT5B",5.901,3.707,3.329,5.704,5.911,7.749,3.823,6.662,3.865,7.046,8.258,4.346,4.859,5.035,4.861,10.477,4.433,7.488,5.529,7.427,5.378,6.521,6.354,5.13,9.145,5.132,5.416
"WNT7B",8.416,4.896,5.464,3.957,2.903,4.378,7.712,5.871,4.732,3.299,5.57,6.291,7.776,7.357,5.592,6.141,8.04,5.531,4.999,4.746,4.899,6.28,4.106,3.079,8.485,5.617,6.577
"XCL1/2",3.351,3.456,6.902,3.734,6.895,4.607,2.887,5.121,3.237,4.925,6.859,5.907,5.557,6.137,4.387,6.048,3.62,5.144,4.414,4.359,5.409,5.628,4.221,4.519,8.438,7.565,4.494
"ZAP70",4.244,4.108,2.672,3.904,3.934,6.105,2.823,8.545,4.907,5.337,8.466,6.304,3.827,4.405,6.112,6.141,3.455,6.691,6.873,6.302,6.832,5.521,7.193,5.359,7.531,8.302,6.919
"ZC3H12A",5.262,5.641,5.248,4.319,5.549,7.921,6.446,8.403,6.532,6.887,7.955,5.334,6.333,7.035,7.639,7.389,6.444,8.028,7.529,7.068,7.386,8.213,7.106,5.857,8.618,6.717,7.092
"ZEB1",8.511,5.845,8.123,9.718,6.957,9.64,6.533,11.145,7.204,8.377,10.951,8.663,5.634,7.772,6.592,8.567,8.476,9.765,7.501,8.244,8.734,5.82,9.65,8.117,8.66,10.531,7.499
"ZEB2",9.035,7.515,9.649,11.9,7.632,11.193,7.783,10.318,7.685,7.396,11.018,11.358,10.455,8.889,9.271,9.855,8.99,11.013,7.186,9.644,9.297,8.479,9.584,12.248,9.389,9.019,8.906
