"","20210326_31020935670_21R4973AZZA_03.RCC","20210326_31020935670_21R6065AZZA_02.RCC","20210326_31020935670_21R6805AZZA_09.RCC","20210326_31020935670_21R7500AZZA_04.RCC","20210326_31020935670_21R7511AZZA_01.RCC","20210326_31020935670_21R7772AZZA_05.RCC","20210326_31020935670_21R9253AZZA_07.RCC","20210326_31020935670_21R9387AZZA_08.RCC","20210623_208994081021_RN21R3425AZZAA_11.RCC","20210623_208994081021_RN21R3996AZZAB_10.RCC","20210623_208994081021_RN21R5653AZZAB_09.RCC","20210623_208994081021_RN21R6723AZZAB_01.RCC","20210623_208994081021_RN21R7618AZZAB_04.RCC","20210623_208994081021_RN21R7921AZZAA_05.RCC","20210623_208994081021_RN21R9370AZZAB_03.RCC","20210623_208994081021_RN21R9727AZZAA_08.RCC","20210623_208994081021_RN21R9918AZZCA_02.RCC","20220624_209393930622_RN21R2533AZZAA_07.RCC","20220624_209393930622_RN21R2960AZZAA_09.RCC","20220624_209393930622_RN21R2966AZZAA_12.RCC","20220624_209393930622_RN21R3890AZZAA_11.RCC","20220624_209393930622_RN21R5628AZZAA_10.RCC","20220624_209393930622_RN21R8427AZZAA_06.RCC","20220624_209393930622_RN21R9372AZZAA_08.RCC","20220727_209421330722_RN21R3807AZZAA_03.RCC","20220727_209421330722_RN21R5295AZZBA_01.RCC","20220727_209421330722_RN21R8948AZZAA_02.RCC"
"MICA",8.618,7.833,4.257,5.793,6.697,7.171,6.151,8.113,10.502,9.727,8.955,7.147,7.315,8.024,7.843,8.828,6.317,7.488,7.978,8.447,8.579,8.28,7.711,5.026,6.853,7.854,8.171
"MICB",7.003,9.413,4.644,4.673,4.31,6.22,5.341,6.216,7.144,7.809,6.792,7.799,7.339,6.727,7.251,6.601,6.482,7.028,6.414,6.659,5.14,6.575,6.498,6.178,8.389,7.617,5.355
"MKI67",9.66,9.17,9.315,4.103,8.269,8.665,7.651,10.526,9.966,9.953,9.114,8.846,9.093,8.898,10.321,10.903,10.123,11.074,7.529,11.554,8.551,9.582,8.614,7.841,8.779,6.897,7.612
"MLANA",3.713,3.49,3.7,4.056,3.467,4.164,4.091,5.871,4.1,4.513,6.648,4.167,5.011,5.205,4.539,6.389,3.965,4.903,5.414,5.118,4.378,6.068,3.843,3.972,8.74,5.395,3.494
"MLH1",7.32,7.386,7.358,8.112,7.399,8.004,7.95,8.028,8.629,7.862,8.307,8.512,8.849,8.235,8.397,7.923,7.691,8.397,8.018,7.659,8.121,7.727,7.759,8.534,8.701,9.349,7.842
"MMP1",2.865,3.193,3.83,2.609,6.147,3.22,2.27,4.247,2.948,5.284,5.4,3.527,10.114,3.151,5.741,8.771,6.575,5.967,4.829,4.981,7.921,5.405,4.106,8.37,8.957,3.81,4.416
"MMP7",11.138,8.614,3.616,1.957,2.839,7.57,8.479,12.09,4.636,6.952,6.307,8.147,9.041,7.199,11.966,9.164,13.213,9.449,6.473,14.819,7.849,6.405,5.608,7.348,9.639,5.395,5.738
"MMP9",7.43,7.628,7.958,3.542,4.608,8.862,3.451,9.469,5.886,4.389,5.57,8.31,5.615,6.517,8.535,11.561,10.866,8.171,6.783,9.692,7.477,6.28,10.778,6.294,8.618,5.617,5.672
"MMRN2",6.505,5.193,4.994,6.204,5.871,6.904,5.43,8.185,5.301,6.63,6.648,7.122,5.476,6.834,6.601,7.665,7.62,8.058,5.636,8.583,6.877,5.99,6.913,5.481,9.618,5.132,6.504
"MRC1",6.97,7.127,5.686,7.121,5.467,6.929,8.783,7.593,5.17,7.305,9.194,10.107,12.5,9.831,8.586,7.923,8.021,11.067,6.584,8.783,9.262,7.464,10.001,12.096,8.054,7.717,9.445
"MRE11",8.511,8.63,8.649,8.255,9.133,9.036,8.855,9.154,10.047,9.723,9.884,9.055,9.349,8.926,8.36,9.311,9.335,8.058,9.038,7.99,8.779,8.843,9.197,8.401,7.231,9.854,9.049
"MS4A1",3.766,2.587,3.181,4.056,2.839,4.378,2.171,5.52,3.865,4.687,7.207,5.358,3.274,3.772,5.557,6.896,2.934,5.691,5.916,6.566,5.247,5.908,5.379,4.915,8.888,11.541,5.079
"MS4A2",2.958,1.234,-0.443,2.149,1.964,2.52,1.823,3.662,2.363,2.137,6.307,1.899,2.367,4.495,3.025,5.311,2.803,4.25,3.414,2.659,5.102,2.82,2.521,3.079,5.853,4.395,3.334
"MS4A4A",8.303,6.931,6.994,7.807,7.157,7.72,7.451,8.532,5.708,5.571,10.239,10.518,11.035,10.019,8.458,7.869,8.262,10.853,6.736,9.327,8.293,6.82,8.691,11.412,9.054,8.333,7.805
"MS4A6A",6.558,5.312,5.572,5.453,5.322,6.659,4.963,8.587,3.948,5.438,9.377,9.056,7.875,7.351,6.584,6.311,5.58,9.443,4.999,6.566,7.662,5.908,6.249,9.243,7.779,5.98,6.559
"MSH2",8.316,7.086,9.223,9.024,7.137,6.955,8.941,7.39,6.546,6.897,5.985,8.872,8.662,6.698,7.772,8.567,9.779,7.397,7.759,7.818,7.289,8.01,6.825,7.348,8.923,9.202,7.008
"MSH6",7.743,6.852,6.98,7.08,7.629,7.433,7.212,9.42,9.051,8.862,8.55,8.11,7.643,6.137,9.306,8.974,7.904,8.623,7.851,10.65,7.221,7.653,7.404,7.154,7.338,7.132,7.48
"MTOR",8.116,8.35,8.152,8.906,8.683,8.631,8.105,8.526,9.342,8.906,8.331,8.972,8.941,8.535,8.51,8.696,9.857,8.224,7.916,8.093,9.062,8.521,8.549,8.316,8.286,10.086,8.708
"MX1",8.868,11.282,7.573,7.881,7.396,9.268,7.341,8.376,10.44,7.668,12.183,8.99,7.557,11.453,7.986,12.246,8.232,10.091,6.288,12.019,7.289,8.296,7.302,9.283,7.923,8.98,8.772
"MXI1",6.253,5.877,7.07,8.317,6.554,7.255,6.937,6.054,4.301,5.085,6.859,7.77,7.356,8.393,6.112,5.949,7.922,5.903,5.829,6.359,6.843,6.775,6.013,8.214,8.116,12.1,7.446
"MYC",8.901,8.28,8.359,7.605,9.132,9.944,7.736,9.979,9.529,7.014,11.461,9.507,8.738,10.873,10.115,9.341,9.183,10.465,7.321,9.244,9.689,11.48,8.404,8.779,9.438,8.693,9.052
"MYCT1",5.244,3.707,4.464,5.032,4.161,5.043,5.461,6.545,3.478,4.789,6.648,5.154,4.274,3.843,4.677,6.665,5.82,6.397,4.636,6.492,5.409,5.142,6.428,4.359,6.338,7.51,5.027
"MYD88",9.151,8.862,7.853,7.056,9.157,7.67,8.895,8.269,8.006,7.521,9.058,9.607,10.407,10.411,8.468,8.741,9.007,8.783,7.829,8.887,8.869,8.589,8.865,9.933,9.116,11.686,9.453
"NBN",9.415,10.004,8.934,9.211,8.901,8.931,9.812,9.295,8.464,8.852,9.377,9.241,9.648,10.508,8.588,8.37,9.428,9.08,7.61,9.517,9.214,9.068,9.193,9.117,8.701,7.81,9.231
"NCAM1",7.019,3.618,9.839,11.999,7.388,10.521,4.27,6.91,4.17,3.603,10.27,9.483,4.274,3.843,4.918,6.842,6.256,9.831,4.999,5.051,6.687,4.99,7.354,10.855,7.438,6.98,3.053
"NCR1",4.003,2.764,2.557,3.793,2.701,4.912,3.27,7.306,4.822,4.359,7.354,5.394,4.455,4.205,4.861,6.229,2.658,5.765,5.829,4.746,4.899,6.142,4.221,4.857,8.531,6.395,4.246
"NDUFA4L2",6.97,7.65,5.005,6.397,8.709,7.705,5.375,10.506,9.077,6.797,7.354,7.231,4.068,7.13,6.764,8.516,7.639,9.531,8.501,8.839,8.069,9.413,8.322,6.714,7.779,5.81,6.436
"NECTIN1",6.924,7.513,8.947,9.325,9.378,8.765,9.31,9.4,7.783,7.1,8.4,9.227,9.556,8.439,9.279,9.164,8.707,8.552,6.916,7.725,8.599,9.442,7.521,9.184,9.023,5.98,8.088
"NECTIN2",9.933,10.234,9.83,8.301,10.312,10.241,9.341,11.067,10.03,9.58,10.477,9.771,10.804,10.543,10.305,10.529,9.808,11.282,8.895,12.19,9.998,10.367,10.995,9.464,7.531,8.058,10.314
"NEIL1",6.513,6.63,5.406,6.617,5.972,6.628,6.986,6.185,7.471,6.007,6.985,5.221,6.378,6.698,5.407,6.665,5.57,6.144,7.321,5.944,7.314,8.124,7.51,5.026,7.779,6.132,7.499
"NF1",9.363,8.912,8.879,9.132,9.069,9.446,8.854,9.482,8.948,8.914,8.55,8.734,9.081,8.86,9.126,8.961,8.084,8.809,9.067,9.356,9.172,8.678,9.504,8.857,7.779,7.854,9.132
"NFAM1",5.168,3.386,3.586,4.471,3.903,5.192,4.685,6.121,3.237,4.64,6.57,6.456,5.937,4.45,6.262,6.141,4.82,7.42,5.414,6.541,5.469,6.82,6.328,6.958,9.618,9.253,5.355
"NFATC2",8.008,7.575,5.534,7.258,6.697,7.987,6.806,9.345,7.471,6.722,9.704,8.427,8.241,6.942,8.562,8.095,7.021,8.583,7.584,8.359,7.687,7.03,7.341,7.142,8.531,8.454,8.063
"NFIL3",8.468,7.363,8.864,8.286,9.93,9.621,8.931,8.876,8.187,8.055,10.08,9.054,9.35,9.146,8.895,9.38,8.876,8.959,8.221,9.656,8.599,9.03,8.989,10.498,9.835,9.865,8.177
"NFKB1",8.043,8.707,7.854,7.177,8.468,7.904,9.525,8.121,6.833,7.733,8.74,9.148,10.171,9.301,9.071,8.481,8.455,8.974,7.978,8.331,8.939,9.169,8.44,8.633,9.054,8.454,8.76
"NFKB2",7.798,7.37,6.644,6.829,7.996,8.977,7.397,8.832,9.095,7.606,10.227,8.015,8.119,7.843,8.608,9.942,8.486,9.919,8.018,9.32,8.706,8.98,8.549,8.033,9.835,8.538,8.766
"NFKBIA",12.839,10.681,11.895,9.923,10.003,11.934,11.015,10.445,9.04,10.125,10.974,11.131,11.321,11.964,11.165,9.785,10.609,11.981,12.408,11.668,11.619,9.944,10.769,11.024,12.494,14.931,10.001
"NFKBIE",6.289,7.244,5.406,6.007,6.784,5.996,5.482,6.443,5.135,5.486,7.044,6.687,6.898,5.79,6.075,6.311,6.198,7.35,5.288,6.051,6.346,5.82,6.193,6.698,6.99,7.333,6.738
"NGFR",5.924,3.678,4.257,7.231,3.589,6.749,3.318,7.019,4.301,5.237,9.1,7.094,2.367,3.772,4.427,9.27,5.218,9.761,5.529,5.566,6.044,6.28,4.521,10.926,9.203,4.81,4.375
"NID2",7.046,6.283,4.727,5.673,7.187,7.912,5.482,10.385,7.09,7.424,9.444,7.609,4.922,7.997,8.223,9.516,8.257,10.648,4.636,10.352,8.791,4.628,8.788,6.681,6.531,5.617,7.416
"NKG7",5.45,5.244,5.338,4.471,5.78,7.255,3.493,9.476,5.585,6.571,9.029,8.748,6.237,6.178,8.151,7.842,4.836,8.541,5.999,8.783,7.675,7.068,6.997,7.779,8.957,10.827,7.421
"NLRC5",6.458,6.248,4.495,5.822,7.362,8.213,3.649,7.76,8.229,6.627,10.065,7.584,5.537,7.439,6.66,8.408,5.444,7.531,6.352,7.858,8.538,7.575,7.806,7.38,5.116,10.019,8.092
"NLRP3",6.316,3.764,4.447,6.559,3.994,7.378,3.573,8.019,4.421,4.884,8.283,4.866,5.859,4.66,7.106,7.533,3.965,9.471,5.414,8.878,6.953,7.28,6.587,8.481,9.338,7.764,4.801
"NOD2",4.602,4.958,3.753,4.056,2.964,5.043,4.738,4.832,4.17,3.417,6.57,6.489,7.04,7.005,5.972,5.842,4.165,6.765,4.829,5.944,5.761,6.344,6.452,7.879,7.231,8.132,6.355
"NOS2",3.351,2.234,1.972,2.957,2.379,2.979,1.685,4.121,2.1,4.417,4.4,2.687,3.274,3.151,3.025,4.463,2.995,4.613,4.829,3.981,3.024,5.28,2.106,2.593,8.923,2.81,2.568
"NOTCH1",6.521,6.567,5.686,7.757,6.83,8.318,5.971,9.731,7.135,7.433,8.843,7.275,6.174,6.62,7.166,9.036,6.083,8.99,6.288,7.907,8.555,7.521,8.276,7.461,8.575,8.425,8.171
"NOTCH2",10.192,8.972,9.364,8.815,10.525,9.598,11.161,9.728,9.321,9.376,8.509,9.799,10.926,10.575,9.482,9.36,9.258,10.083,8.662,11.08,8.629,8.548,9.676,9.085,7.338,10.228,8.331
"NRAS",9.474,8.832,9.742,8.836,10.227,9.176,9.283,10.123,9.293,9.392,8.722,9.751,9.897,9.378,8.883,9.625,10.36,9.46,9.508,9.292,8.545,8.897,9.06,9.824,8.957,9.717,8.913
"NT5E",7.71,7.154,5.902,7.458,4.772,7.213,9.002,7.581,3.865,5.146,5.4,7.31,8.145,6.99,5.262,6.311,9.504,8.058,10.344,7.589,5.785,7.142,6.806,7.117,9.816,6.269,5.053
"OAS1",9.185,10.176,7.342,6.95,10.037,9.74,7.402,9.492,10.835,9.835,12.564,9.776,9.733,13.073,8.61,11.553,8.351,9.792,7.937,12.775,7.803,10.621,8.527,9.86,8.99,9.349,8.844
"OAS2",9.031,10.941,6.46,6.435,8.555,8.654,6.875,8.437,9.979,8.805,12.051,9.336,9.802,12.104,8.573,10.601,8.849,9.603,6.736,11.639,7.86,9.697,8.302,9.631,9.023,11.198,9.031
"OAS3",8.436,9.275,6.53,6.807,6.719,9.191,6.635,8.639,11.351,9.393,11.386,9.554,8.871,12.088,8.999,10.255,8.376,9.733,7.221,12.026,7.469,8.908,8.076,9.05,8.853,6.81,8.069
"OASL",6.733,8.126,4.727,5.126,5.746,7.142,3.855,7.185,7.585,6.643,9,7.188,5.596,9.875,6.124,7.696,6.56,8.326,5.736,9.292,4.761,6.464,5.045,8.787,8.575,7.51,6.312
"OLFML2B",6.536,5.915,5.519,5.489,4.445,6.074,4.246,8.232,4.778,4.578,7.609,6.511,8.414,6.192,7.507,9.36,7.746,9.633,5.916,8.967,6.14,6.068,7.208,8.886,8.286,4.395,5.053
"OLR1",8.209,6.029,5.897,7.887,5.683,7.639,8.179,7.002,4.026,2.745,9.029,8.065,8.847,6.926,7.503,6.896,6.46,8.224,4.999,6.703,7.194,8.087,8.269,8.598,7.438,6.132,8.076
"OTOA",4.351,2.818,2.83,4.056,2.839,4.649,3.408,5.52,3.1,1.745,6.207,2.024,3.068,3.357,2.677,5.949,1.41,5.531,5.529,3.829,2.855,4.82,3.106,3.441,6.701,5.132,3.053
"P2RY13",7.325,4.312,6.054,6.937,3.549,5.805,5.573,7.002,2.778,3.652,6.4,7.576,7.572,4.538,6.397,6.463,5.455,7.301,4.999,4.466,5.378,5.908,6.276,6.629,8.338,6.269,5.672
"P4HA1",8.035,8.456,8.329,7.43,8.707,7.359,8.342,7.019,6.833,5.915,7.258,8.874,9.708,9.455,8.245,7.923,8.926,7.531,9.329,7.118,8.803,8.344,7.165,9.359,8.816,7.717,8.504
"P4HA2",8.859,7.869,7.137,6.397,7.17,6.996,8.902,7.557,5.332,5.466,6.57,7.211,7.883,8.202,7.745,7.048,7.734,8.633,8.557,9.562,7.855,7.703,6.65,6.294,7.116,5.98,7.11
"PALMD",5.298,3.736,5.08,5.807,9.219,6.327,6.125,9.243,7.187,8.459,7.955,6.947,4.952,5.232,5.484,7.896,5.658,8.71,6.529,7.829,6.749,5.908,7.721,5.972,9.389,5.132,5.436
"PARP12",9.102,7.65,7.481,6.278,8.093,7.34,7.533,7.291,8.002,6.748,8.354,9.17,8.7,9.426,7.417,7.842,8.774,7.935,7.186,8.259,8.432,7.628,7.367,9.063,9.312,7.854,8.541
"PARP4",8.847,9.423,7.963,7.425,5.972,7.48,9.354,8.037,6.937,6.359,7.792,9.473,10.759,9.187,8.489,8.095,9.524,8.374,9.522,7.99,9.988,9.247,8.052,9.02,7.618,9.705,9.286
"PARP9",9.051,9.498,8.744,7.745,8.703,8.308,10.933,8.054,8.285,6.667,8.924,10.017,10.44,10.531,8.297,8.048,9.6,8.583,8.077,9.413,8.281,8.798,8.193,9.406,7.923,8.269,8.846
"PC",7.782,8.009,7.994,9.533,7.71,10.115,9.422,10.338,11.068,8.897,10.08,8.485,9.858,10.345,9.182,10.485,6.59,8.911,10.505,9.134,9.308,9.99,9.96,8.22,9.597,6.897,9.202
"PCK2",8.366,7.475,7.57,6.397,9.042,8.542,8.691,7.495,7.492,8.273,8.181,8.431,9.083,8.61,8.449,7.974,8.047,8.613,7.829,8.725,7.167,6.99,6.843,8.969,9.145,7.897,8.47
"PDCD1",3.28,3.018,2.672,3.793,2.903,4.52,3.064,5.52,3.585,3.789,7.258,4.484,3.174,3.974,4.217,6.141,4.025,4.613,5.529,4.244,4.942,5.99,3.98,2.857,8.338,5.132,4.706
"PDCD1LG2",5.316,4.896,3.431,3.793,4.356,5.192,3.756,5.569,6.532,3.268,7.258,8.119,6.751,6.63,5.284,6.999,4.87,6.998,4.829,6.566,5.712,5.727,5.608,7.092,7.116,5.395,5.904
"PDGFA",8.861,6.832,5.059,6.742,4.023,7.012,5.171,8.046,4.732,5.229,6.985,5.866,5.996,5.958,5.446,7.186,6.853,7.765,6.151,6.566,6.044,5.99,7.091,6.779,8.575,6.51,6.647
"PDGFB",6.543,5.041,4.926,5.625,5.237,6.327,4.118,8.291,4.363,5.253,6.792,5.882,4.982,5.151,5.627,6.389,6.018,7.25,5.151,7.453,5.712,5.28,6.671,5.593,6.99,5.617,5.334
"PDGFRB",8.466,7.061,5.873,7.807,8.382,9.043,6.352,11.714,8.385,9.61,11.784,8.458,5.455,9.237,8.215,12.021,9.873,10.994,7.255,10.527,10.008,7.435,10.232,6.857,6.99,6.617,8.511
"PDK1",6.333,7.399,8.401,7.715,8.865,7.213,6.592,6.966,6.907,7.647,6.924,7.878,7.25,7.375,6.701,7.756,7.629,6.903,8.905,8.38,8.755,8.01,7.121,9.013,8.618,10.202,8.81
"PDZK1IP1",9.326,7.734,8.936,4.542,2.627,8.135,8.083,10.412,8.1,5.9,10.022,8.942,10.742,10.149,11.027,8.771,8.868,9.244,8.255,4.829,10.085,11.124,7.879,5.026,9.338,9.039,7.656
"PECAM1",9.126,7.29,7.355,7.775,8.408,8.167,9.363,9.963,6.572,7.546,8.648,9.811,10.56,10.695,8.675,8.164,9.419,10.633,6.829,10.308,9.477,7.929,9.747,10.325,8.531,13.417,9.259
"PF4",2.958,2.922,3.616,3.542,1.964,4.043,2.685,5.984,4.026,3.853,6.648,3.297,2.367,3.843,3.124,6.601,4.58,5.25,4.999,4.359,3.555,5.28,4.521,3.857,8.286,5.81,2.947
"PFKFB3",10.696,7.707,7.224,9.172,6.08,10.122,7.721,8.881,7.378,5.52,8.044,7.857,6.725,6.67,7.273,7.463,5.686,8.562,8.204,7.659,8.623,7.886,9.021,9.779,8.618,7.565,7.165
"PFKM",6.376,5.97,8.174,8.334,4.488,7.074,6.69,6.728,5.478,5.473,7.258,6.334,6.496,5.495,5.61,7.27,7.09,6.488,7.255,5.613,6.498,7.312,6.045,5.795,8.779,7.269,6.746
"PGPEP1",6.342,5.34,4.727,6.673,6.262,7.334,5.611,7.749,8.532,7.247,7.487,7.253,6.615,6.834,7.584,7.351,7.29,7.572,7.662,9.038,7.346,8.178,7.416,7.226,8.575,5.98,7.189
"PIAS4",8.192,7.164,7.722,8.526,8.604,9.422,7.526,9.616,9.257,9.48,10.444,8.08,7.298,7.722,9.102,9.617,6.615,8.835,8.862,9.373,8.619,8.786,9.351,8.046,8.531,8.565,8.485
"PIK3CA",8.008,7.861,8.809,8.797,7.388,7.805,8.967,7.9,7.743,6.964,7.792,8.181,8.194,7.938,6.986,7.923,8.584,7.801,7.978,8.345,7.378,7.751,7.428,8.059,8.66,9.15,7.257
"PIK3CD",7.035,5.952,5.672,7.458,5.627,8.442,5.306,10.228,7.636,5.92,10.1,7.337,6.974,6.381,8.711,8.936,5.972,9.578,7.077,9.217,7.725,7.751,9.013,8.719,8.175,8.96,7.781
"PIK3CG",6.216,4.234,4.972,5.471,4.333,4.768,5.27,5.706,4.237,5.002,6.924,7.734,8.452,6.205,6.305,6.665,5.894,6.653,5.151,6.767,6.513,5.727,6.671,7.655,8.438,10.38,7.073
"PIK3R1",9.139,7.154,8.814,10.03,7.144,9.122,8.467,9.313,7.457,7.431,9.59,8.083,7.978,7.856,7.972,8.27,7.185,9.191,8.114,9.198,7.362,7.03,8.464,8.283,5.116,8.764,6.223
"PIK3R2",7.609,7.652,7.246,8.299,8.927,8.116,8.013,7.277,7.806,8.234,7.57,8.015,8.112,8.087,7.81,8.551,9.466,8.35,8.114,7.636,8.029,8.493,8.029,7.566,8.957,5.81,8.004
"PIK3R5",7.22,5.029,4.431,5.822,5.994,5.979,5.318,7.002,3.363,5.603,7.609,8.311,8.601,7.5,7.267,6.311,5.836,8.313,4.414,7.228,7.424,5.99,6.711,8.735,7.438,10.387,7.296
"PKM",11.789,11.907,12.499,12.678,12.303,13.055,13.099,13.483,11.021,11.219,11.922,12.091,13.506,12.793,13.333,12.248,12.584,13.738,12.745,14.406,12.655,13.036,11.689,12.967,13.052,12.211,12.083
"PLA1A",5.631,4.958,4.162,4.764,4.445,4.474,5.022,4.749,3.865,6.012,5.57,5.706,3.615,4.974,4.262,5.949,4.433,5.835,6.151,7.15,6.281,4.99,5.475,4.359,7.338,5.132,4.568
"PLA2G2A",3.482,1.649,1.557,4.007,2.187,6.365,0.948,4.121,2.948,3.652,5.985,3.994,3.068,3.538,2.918,5.311,2.41,5.35,1.829,3.244,5.712,6.142,2.521,6.5,7.779,4.81,6.689
"PLOD2",7.056,8.557,8.093,7.349,8.754,8.337,8.583,7.262,7.912,6.378,7.258,9.352,9.689,9.089,8.344,9.207,8.138,8.454,8.736,5.829,7.915,8.36,6.565,8.83,8.66,6.617,8.499
"PMS2",9.099,8.674,8.942,9.062,8.358,7.992,9.399,8.08,9.299,7.515,8.529,8.737,7.996,8.487,7.664,8.351,8.981,7.465,8.783,7.529,8.424,8.124,8.328,7.894,8.74,8.764,7.971
"PNOC",1.958,0.649,3.994,6.397,1.964,4.69,-0.052,4.749,3.237,4.445,8.181,3.14,2.689,1.772,2.539,5.842,1.87,3.028,4.414,6.244,4.314,6.344,3.521,4.178,8.779,4.395,3.638
"POLD1",7.889,6.075,5.32,5.278,5.83,7.372,6.007,7.532,9.006,8.121,8.283,6.857,6.054,6.868,7.517,8.741,5.498,7.35,8.095,7.213,7.14,7.602,7.391,6.294,7.99,5.98,7.135
"PPARG",7.342,5.052,4.101,5.673,3.187,6.531,6.493,5.469,4.822,5.315,5.859,6.951,9.219,8.546,4.802,5.311,7.253,5.765,5.916,7.878,5.832,7.106,7.045,7.915,8.575,4.395,6.223
"PPARGC1B",5.947,6.33,5.902,6.567,4.934,6.586,5.721,7.781,7.195,7.071,8.1,5.788,5.615,5.826,5.521,7.229,5.329,7.397,6.529,6.359,7.439,8.068,7.404,6.647,8.338,6.617,6.824
"PRF1",3.816,3.273,2.364,2.471,3.839,3.979,1.363,8.146,3.237,4.8,8.044,5.462,4.759,5.205,5.802,5.842,5.519,7.509,3.829,5.868,5.314,5.142,5.428,4.272,7.438,9.98,5.604
"PRKAA2",3.28,2.234,6.935,7.026,6.589,4.979,5.756,5.247,3.865,5.838,5.985,4.346,2.537,3.843,4.772,6.048,2.87,4.028,5.414,3.829,3.761,5.28,3.843,4.664,7.116,5.81,5.291
"PRKACB",7.118,5.952,10.126,11.209,7.824,9.147,6.007,8.254,6.253,6.237,9.27,9.129,7.789,6.517,7.832,7.186,7.882,8.643,7.829,7.492,7.121,6.521,7.302,9.582,6.701,8.425,6.165
"PRKCA",9.927,7.762,9.205,10.502,6.073,10.737,8.2,8.765,9.778,9.275,9.246,9.078,8.444,9.902,9.009,8.785,8.246,9.911,9.263,11.072,8.208,9.151,10.314,9.148,6.701,6.897,7.77
"PRKX",2.958,0.871,0.294,2.734,1.839,2.327,0.685,3.469,3.363,2.204,4.4,2.346,1.952,1.772,2.802,5.726,1.87,4.443,4.414,3.981,2.662,4.628,3.106,2.857,6.338,3.81,2.568
"PRLR",7.311,5.656,2.294,3.319,6.016,4.043,1.823,4.247,0.778,6.208,5.859,4.548,3.174,3.538,3.124,6.785,1.87,5.25,4.636,8.213,3.314,5.28,7.136,5.13,7.338,5.98,3.053
"PROM1",4.088,4.086,9.295,6.149,10.006,6.192,4.363,8.277,4.301,6.385,7.4,5.599,4.011,4.094,5.847,10.365,2.87,5.903,5.829,5.118,4.609,6.678,6.193,6.249,8.286,4.81,3.638
"PRR5",6.177,4.832,5.07,6.793,6.822,5.67,4.823,5.871,6.006,5.773,6.985,6.174,5.827,6.538,6.025,7.141,5.54,6.443,5.999,6.15,6.931,5.99,6.379,5.999,8.779,6.51,6.762
"PSMB10",8.311,8.574,6.641,6.55,6.887,8.028,8.439,8.938,7.755,6.957,9.884,9.185,9.875,9.139,9.02,8.987,8.347,9.028,8.649,10.027,8.782,8.296,8.172,8.857,9.286,9.482,8.781
"PSMB5",9.227,9.223,9.851,9.442,9.933,8.542,10.348,9.345,8.072,9.153,8.939,8.824,9.259,9.365,8.715,8.68,10.238,9.072,8.487,9.717,8.636,8.678,8.228,8.759,9.389,7.565,8.393
"PSMB8",9.259,10.038,7.368,7.194,9.009,8.677,8.589,9.178,9.353,8.894,10.044,10.158,10.451,10.422,9.834,9.771,9.718,9.947,8.186,10.526,8.806,9.204,8.158,9.043,8.66,8.764,9.003
"PSMB9",9.293,8.535,6.415,6.988,7.676,8.442,7.043,9.898,9.462,7.947,11.461,9.826,9.642,9.862,9.973,10.301,8.605,10.913,7.978,12.417,8.913,8.876,8.013,8.982,8.888,10.752,8.967
"PTCD2",6.187,6.006,6.406,6.649,5.066,6.012,8.151,6.019,7.006,6.089,7.487,6.434,7.624,7.339,5.847,7.229,6.46,5.35,6.999,5.182,6.439,7.493,6.825,5.664,7.338,6.51,5.223
"PTEN",8.528,7.768,7.769,8.266,8.453,6.68,8.963,7.201,5.506,6.894,7.609,8.172,8.634,8.79,6.557,7.567,9.227,8.224,5.414,5.981,7.498,7.653,7.543,7.739,8.054,9.578,8.339
"PTGER4",6.772,4.934,3.779,4.904,5.519,6.758,5.503,6.852,5.506,5.424,7.4,7.188,7.068,6.321,6.284,6.533,6.047,8.276,5.288,6.331,6.921,6.575,7.221,8.456,8.888,8.095,7.073
"PTGS2",8.035,3.49,6.72,3.734,3.772,5.929,7.583,5.706,5.1,3.722,8.015,6.002,6.793,3.91,6.825,8.842,7.714,8.171,8.501,6.636,5.064,5.521,6.565,6.5,7.853,5.395,4.2
"PTPN11",9.904,10.23,10.111,11.297,10.041,11.689,9.649,11.763,10.931,10.829,11.509,10.513,10.261,10.219,10.731,10.521,9.552,11.464,9.529,11.818,10.731,10.876,11.326,10.705,10.564,9.41,10.745
"PTPRC",7.562,5.7,6.111,6.092,5.08,7.509,6.446,8.121,5.1,5.253,8.377,7.81,8.384,6.66,7.53,7.186,5.836,8.801,3.829,7.492,7.668,5.908,8.128,8.811,6.338,10.219,7.465
"PVR",7.693,6.273,6.064,6.359,6.759,7.824,6.543,7.842,9.434,8.502,8.59,7.098,7.231,7.45,6.918,8.207,7.466,8.386,6.783,7.479,7.447,8.142,8.341,6.5,9.023,5.132,6.96
"PVRIG",5.713,4.649,4.511,4.764,4.855,5.427,4.553,6.362,5.332,4.993,6.648,4.931,3.274,4.808,5.124,6.601,4.025,6.443,5.636,6.492,6.176,6.068,6.106,5.079,8.701,9.565,6.014
"RAD50",9.279,8.961,9.374,9.428,8.023,8.897,11.165,9.507,9.837,8.374,9.466,9.487,10.388,10.189,8.863,8.445,9.907,8.52,9.151,9.236,9.746,9.803,8.269,9.04,8.531,8.876,9.489
"RAD51",5.97,5.367,5.885,3.904,4.445,4.22,4.933,6.185,2.948,3.389,5.985,4.297,5.225,5.205,4.644,5.726,5.268,5.903,5.636,6.387,4.855,6.865,4.843,4.795,8.054,5.81,3.89
